assembly_name	ena_accession	fasta_url	fastq_url
CAN01-026	GCA_900707465	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707465?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418639/ERR3418639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418639/ERR3418639_2.fastq.gz""]"
CAN01-027			
CAN01-028	GCA_900707455	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707455?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418593/ERR3418593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418593/ERR3418593_2.fastq.gz""]"
CAN01-029			
CAN01-030			
CAN01-031			
CAN01-032			
CAN01-033			
CAN01-034			
CAN01-037	GCA_900707485	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707485?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418594/ERR3418594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418594/ERR3418594_2.fastq.gz""]"
CAN01-038	GCA_900707495	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707495?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418595/ERR3418595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418595/ERR3418595_2.fastq.gz""]"
CAN01-039	GCA_900707505	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707505?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418596/ERR3418596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418596/ERR3418596_2.fastq.gz""]"
CAN01-040			
CAT01-001	GCA_900707515	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707515?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418493/ERR3418493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418493/ERR3418493_2.fastq.gz""]"
CAT01-003			
CAT01-004			
CAT01-005			
CAT01-007			
CAT01-008			
CAT01-009			
CAT01-010			
CAT01-011			
CAT01-013			
CAT01-014			
CAT01-015	GCA_900707685	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707685?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418597/ERR3418597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418597/ERR3418597_2.fastq.gz""]"
CAT01-017			
CAT01-019			
CAT01-021			
CAT01-022			
CAT01-023			
CAT01-025			
CAT01-026			
CAT01-027			
CAT01-029			
CAT01-030			
CAT01-031			
CAT01-032			
CAT01-033			
CAT01-034			
CAT01-035			
CAT01-036			
CAT01-037			
CAT01-038			
CAT02-001			
CAT02-002			
CAT02-003			
CAT02-004			
CAT02-005			
CAT02-006			
CAT02-007	GCA_900707565	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707565?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418598/ERR3418598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418598/ERR3418598_2.fastq.gz""]"
CAT02-008			
CAT02-009			
CAT02-010			
CAT02-011			
CAT02-012	GCA_900707595	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707595?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418640/ERR3418640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418640/ERR3418640_2.fastq.gz""]"
CAT02-013			
CAT02-014			
CAT02-015	GCA_900707585	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707585?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418599/ERR3418599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418599/ERR3418599_2.fastq.gz""]"
CAT02-016			
CAT02-017			
CAT02-018	GCA_900707605	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707605?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418600/ERR3418600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418600/ERR3418600_2.fastq.gz""]"
CAT02-019			
